group,skill,details
communication,presentations,
communication,dashboard design,Shiny
communication,data analysis reports,"Rmarkdown, Jupyter"
communication,data visualization,"plotly, ggplot2, leaflet"
communication,peer-reviewed publications,"journal, book chapter, conference"
programming languages,R,
programming languages,Python,
programming languages,SQL,
programming languages,Matlab,
programming languages,C++,
software development,source control,"Git, SVN"
software development,agile development,Jira
software development,CI/CD,Azure DevOps
software development,automated testing,
cloud computing,Azure,
cloud computing,AWS,
cloud computing,high-performance computing,Azure Batch
cloud computing,NoSQL,Azure Table/Blob
numerical methods,optimization,"stochastic, genetic, multi-start"
numerical methods,methods for differential equations,
statistics,machine learning,
statistics,data analysis,
statistics,cluster analysis,
statistics,factor analysis,
statistics,principal components analysis,
statistics,cross-validation,
statistics,Monte Carlo simulation,
statistics,generalized linear regression,
statistics,experimental design,
statistics,survey methodology,
